,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
76,frozenset({'roubo_outros'}),frozenset({'tentativa_de_homicidio'}),0.9230769230769231,0.7884615384615384,0.7884615384615384,0.8541666666666665,1.0833333333333333,1.0,0.06065088757396442,1.4505494505494492,0.9999999999999994,0.8541666666666665,0.31060606060606,0.9270833333333333
552,"frozenset({'tentativa_de_homicidio', 'lesao_corporal_culposa_por_acidente_de_transito'})",frozenset({'roubo_outros'}),0.7884615384615384,0.9230769230769231,0.7884615384615384,1.0,1.0833333333333333,1.0,0.06065088757396442,inf,0.36363636363636315,0.8541666666666665,1.0,0.9270833333333333
570,"frozenset({'lesao_corporal_dolosa', 'roubo_outros'})",frozenset({'tentativa_de_homicidio'}),0.9230769230769231,0.7884615384615384,0.7884615384615384,0.8541666666666665,1.0833333333333333,1.0,0.06065088757396442,1.4505494505494492,0.9999999999999994,0.8541666666666665,0.31060606060606,0.9270833333333333
556,frozenset({'roubo_outros'}),"frozenset({'tentativa_de_homicidio', 'lesao_corporal_culposa_por_acidente_de_transito'})",0.9230769230769231,0.7884615384615384,0.7884615384615384,0.8541666666666665,1.0833333333333333,1.0,0.06065088757396442,1.4505494505494492,0.9999999999999994,0.8541666666666665,0.31060606060606,0.9270833333333333
555,frozenset({'tentativa_de_homicidio'}),"frozenset({'lesao_corporal_culposa_por_acidente_de_transito', 'roubo_outros'})",0.7884615384615384,0.9230769230769231,0.7884615384615384,1.0,1.0833333333333333,1.0,0.06065088757396442,inf,0.36363636363636315,0.8541666666666665,1.0,0.9270833333333333
573,"frozenset({'roubo_de_veiculo', 'tentativa_de_homicidio'})",frozenset({'roubo_outros'}),0.7115384615384616,0.9230769230769231,0.7115384615384616,1.0,1.0833333333333333,1.0,0.05473372781065089,inf,0.2666666666666667,0.7708333333333334,1.0,0.8854166666666666
206,"frozenset({'estupro_de_vulneravel', 'homicidio_culposo_por_acidente_de_transito'})",frozenset({'roubo_de_veiculo'}),0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
497,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_dolosa'})",frozenset({'roubo_de_veiculo'}),0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
499,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'roubo_de_veiculo', 'lesao_corporal_dolosa'})",0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
484,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'roubo_de_veiculo', 'lesao_corporal_culposa_por_acidente_de_transito'})",0.7692307692307693,0.8846153846153846,0.7307692307692307,0.95,1.0739130434782609,1.0,0.050295857988165604,2.307692307692306,0.29824561403508737,0.7916666666666666,0.5666666666666664,0.8880434782608695
